renda_familiar,participantes,media_geral,media_objetivas,media_cn,media_ch,media_lc,media_mt,media_redacao
A - Nenhuma renda,14633,487.66,471.51,459.2,486.62,470.12,470.1,552.24
B - Até R$ 1.212,72867,512.17,490.58,470.92,504.2,492.76,494.43,598.55
C - R$ 1.212 a 1.818,36549,537.17,512.59,485.2,525.03,516.35,523.77,635.53
D - R$ 1.818 a 2.424,23135,551.11,524.91,494.18,536.7,527.69,541.05,655.91
E - R$ 2.424 a 3.030,13641,566.86,538.36,504.69,548.23,538.97,561.53,680.88
F - R$ 3.030 a 3.636,7170,580.95,550.58,516.12,558.84,548.22,579.13,702.42
G - R$ 3.636 a 4.848,7996,589.15,557.95,522.58,566.09,554.06,589.07,713.94
H - R$ 4.848 a 6.060,6872,604.48,571.4,534.52,577.46,563.32,610.31,736.8
I - R$ 6.060 a 7.272,2770,619.69,585.09,549.08,589.48,573.93,627.86,758.08
J - R$ 7.272 a 8.484,1808,630.03,593.74,555.87,596.23,578.26,644.6,775.18
K - R$ 8.484 a 9.696,1261,632.79,597.74,560.82,599.69,580.44,650.01,773.01
L - R$ 9.696 a 10.908,1454,635.88,599.47,562.02,600.76,583.12,651.99,781.51
M - R$ 10.908 a 12.120,1437,643.58,606.05,568.44,607.89,587.13,660.74,793.68
N - R$ 12.120 a 14.544,1018,648.69,611.71,575.13,608.61,591.59,671.49,796.62
O - R$ 14.544 a 18.180,1042,654.15,617.59,579.64,614.87,595.97,679.89,800.36
P - R$ 18.180 a 24.240,944,665.81,627.73,591.93,624.74,601.72,692.55,818.14
Q - Acima de R$ 24.240,1267,665.44,627.67,591.21,621.64,599.74,698.09,816.54
