renda_familiar,inscritos,presentes_todas,taxa_presenca_pct,taxa_ausencia_pct
A - Nenhuma renda,22714,14633,64.42,35.58
B - Até R$ 1.212,107851,72867,67.56,32.44
C - R$ 1.212 a 1.818,53576,36549,68.22,31.78
D - R$ 1.818 a 2.424,32432,23135,71.33,28.67
E - R$ 2.424 a 3.030,18260,13641,74.7,25.3
F - R$ 3.030 a 3.636,9326,7170,76.88,23.12
G - R$ 3.636 a 4.848,10306,7996,77.59,22.41
H - R$ 4.848 a 6.060,8594,6872,79.96,20.04
I - R$ 6.060 a 7.272,3358,2770,82.49,17.51
J - R$ 7.272 a 8.484,2178,1808,83.01,16.99
K - R$ 8.484 a 9.696,1496,1261,84.29,15.71
L - R$ 9.696 a 10.908,1740,1454,83.56,16.44
M - R$ 10.908 a 12.120,1679,1437,85.59,14.41
N - R$ 12.120 a 14.544,1209,1018,84.2,15.8
O - R$ 14.544 a 18.180,1242,1042,83.9,16.1
P - R$ 18.180 a 24.240,1131,944,83.47,16.53
Q - Acima de R$ 24.240,1499,1267,84.52,15.48
