SG_UF_PROVA,inscritos,presentes_todas,taxa_presenca_pct,taxa_ausencia_pct
SE,7032,5402,76.82,23.18
CE,24485,18298,74.73,25.27
PB,9554,7030,73.58,26.42
RN,8323,6056,72.76,27.24
PI,8346,6026,72.2,27.8
PA,21356,15242,71.37,28.63
AL,5271,3760,71.33,28.67
MA,11697,8339,71.29,28.71
PE,16155,11471,71.01,28.99
BA,23874,16939,70.95,29.05
MG,19683,13771,69.96,30.04
SP,35582,24876,69.91,30.09
GO,10169,7060,69.43,30.57
AC,1909,1325,69.41,30.59
RJ,22243,15430,69.37,30.63
ES,4847,3327,68.64,31.36
TO,2055,1408,68.52,31.48
RS,10651,7274,68.29,31.71
RO,2329,1584,68.01,31.99
DF,4182,2830,67.67,32.33
SC,4967,3343,67.3,32.7
MS,3008,2011,66.86,33.14
AP,1855,1228,66.2,33.8
PR,8087,5351,66.17,33.83
MT,4138,2662,64.33,35.67
RR,567,342,60.32,39.68
AM,6226,3479,55.88,44.12
