SG_UF_PROVA,participantes,media_geral,media_objetivas,media_cn,media_ch,media_lc,media_mt,media_redacao
MG,13771,574.0,544.82,511.95,554.49,539.81,573.04,690.72
SC,3343,563.77,538.71,507.26,548.94,538.67,559.97,663.99
SP,24876,563.55,539.82,504.24,550.13,543.68,561.25,658.46
RS,7274,559.27,533.6,500.97,545.04,537.26,551.15,661.94
ES,3327,557.71,530.38,500.74,541.82,528.14,550.83,667.02
DF,2830,557.6,535.32,507.12,548.14,537.93,548.08,646.75
PR,5351,554.01,532.75,504.59,543.12,532.73,550.56,639.06
RJ,15430,549.65,525.0,494.71,539.16,530.02,536.13,648.22
PE,11471,539.55,513.99,490.45,522.43,512.51,530.56,641.82
GO,7060,538.18,514.04,489.05,525.45,512.49,529.17,634.71
